Field 1,DOI,Paper title,Abstract,PDF Link,Journal,Primary lit site,Functions Level I,Functions Level II,Functions Level III- NEW,Functions Level III-OLD,Link to press release
16,,,,,"Journal of Adhesion,Macromolecular Bioscience",https://onlinelibrary.wiley.com/doi/abs/10.1002/mabi.200800252,"Attach,Physically assemble/disassemble","Attach permanently,Physically assemble structure",,"Attach permanently,Physically assemble structure",https://www.eurekalert.org/pub_releases/2008-11/uou-sft112408.php
17,,,,,The Journal of Adhesion,https://www.tandfonline.com/doi/abs/10.1080/00218460902996358,Attach,"Attach permanently,Attach temporarily",,"Attach permanently,Attach temporarily,Modify material characteristics",
18,,,,,Journal of Adhesion,https://www.tandfonline.com/doi/abs/10.1080/00218460902782071,"Attach,Protect from harm","Attach permanently,Protect from living threats,Protect from non-living threats","Protect from animals,Protect from chemicals,Protect from ice,Protect from loss of liquids,Protect from microbes","Attach permanently,Protect from animals,Protect from chemicals,Protect from ice,Protect from loss of liquids,Protect from microbes",
19,,,,,"Bird Study,Ibis",https://www.tandfonline.com/doi/abs/10.1080/00063657309476382,Move,Active movement,Actively move through/on liquids,"Move in/on liquids,""Capture, absorb, or filter organisms"",""Capture, absorb, or filter solids""",
20,,,,,"Bird Study,Ibis",https://onlinelibrary.wiley.com/doi/abs/10.1111/ibi.12272,Process resources,Capture resources,Capture solids,"Move in/on liquids,""Capture, absorb, or filter organisms"",""Capture, absorb, or filter solids""",
21,,,,,Ethology Ecology & Evolution,https://www.tandfonline.com/doi/abs/10.1080/08927014.1998.9522865,"Chemically modify or Change energy state,Protect from harm","Chemically break down,Protect from non-living threats","Chemically break down organic compounds,Protect from excess liquids","Chemically break down organic compounds,Protect from excess liquids",
22,,,,,"Animal Architects: Building and the Evolution of Intelligence,Bird Nests and Construction Behavior,Ostrich: Journal of African Ornithology",https://www.tandfonline.com/doi/abs/10.1080/00306525.1969.9639116,Physically assemble/disassemble,Physically assemble structure,,Physically assemble structure,
23,,,,,"Mycologia,Neotyphodium in Cool-Season Grasses",https://www.tandfonline.com/doi/abs/10.1080/00275514.1998.12026945,Protect from harm,Protect from non-living threats,"Compete within/between species,Protect from fire","Cooperate/compete between different species,Protect from fire",
25,,,,,"Environmental Practice,Biological Bulletin,Swimming and Flying in Nature",https://www.journals.uchicago.edu/doi/10.2307/1540846,Move,Passive movement,Passively move through/on liquids,Move in/on liquids,
26,,,,,"Oncology Letters,Journal of Physical Chemistry A,Nature",https://www.spandidos-publications.com/ol/1/4/673,Protect from harm,"Protect from non-living threats,Protect from living threats","Protect from light,Protect from microbes","Protect from light,Protect from microbes",
27,,,,,"Oncology Letters,Journal of Physical Chemistry A,Nature",https://pubs.acs.org/doi/10.1021/jp809138s,Protect from harm,"Protect from non-living threats,Protect from living threats","Protect from light,Protect from microbes","Protect from light,Protect from microbes",
28,,,,,"Oncology Letters,Journal of Physical Chemistry A,Nature",https://www.nature.com/articles/429363a,Protect from harm,"Protect from non-living threats,Protect from living threats","Protect from light,Protect from microbes","Protect from light,Protect from microbes",
29,,,,,International Journal of Molecular Medicine,https://www.spandidos-publications.com/10.3892/ijmm.2016.2723,Maintain ecological community,Individual benefit,Regulate reproduction or growth,"Modify material characteristics,Regulate reproduction or growth",
30,,,,,Environmental Science,https://www.semanticscholar.org/paper/Arsenic-hyperaccumulating-ferns-and-their-to-of-Rathinasabapathi-Ma/36f64296e760af7924d99b00bd9554cf1bfe94ad,Protect from harm,Protect from non-living threats,Protect from chemicals,"Modify oxidation state,Protect from chemicals",
31,,,,,"AoB Plants,New Phytologist,Scientific Reports",https://www.scribd.com/document/411820185/inter-plant-communication-through-mycorrhizal-networks-mediates-complex-adaptive-behaviour-in-plant-communities,"Process resources,Protect from harm","Distribute resources,Protect from living threats","Compete within/between species,Distribute liquids,Distribute solids,Send chemical signals,Protect from animals","Cooperate within an ecosystem,Cooperate/compete between different species,Distribute liquids,Distribute solids,""Send chemical signals (odor, taste, etc.)"",Protect from animals","https://www.natureconservancy.ca/en/blog/archive/conversations-in-the-forest.html
https://www.theatlantic.com/science/archive/2016/04/the-wood-wide-web/478224/"
32,,,,,"AoB Plants,New Phytologist,Scientific Reports",https://nph.onlinelibrary.wiley.com/doi/full/10.1111/j.1469-8137.2009.03069.x,"Process resources,Protect from harm","Distribute resources,Protect from living threats","Compete within/between species,Distribute liquids,Distribute solids,Send chemical signals,Protect from animals","Cooperate within an ecosystem,Cooperate/compete between different species,Distribute liquids,Distribute solids,""Send chemical signals (odor, taste, etc.)"",Protect from animals","https://www.natureconservancy.ca/en/blog/archive/conversations-in-the-forest.html
https://www.theatlantic.com/science/archive/2016/04/the-wood-wide-web/478224/"
33,,,,,"AoB Plants,New Phytologist,Scientific Reports",https://www.nature.com/articles/srep08495,"Process resources,Protect from harm","Distribute resources,Protect from living threats","Compete within/between species,Distribute liquids,Distribute solids,Send chemical signals,Protect from animals","Cooperate within an ecosystem,Cooperate/compete between different species,Distribute liquids,Distribute solids,""Send chemical signals (odor, taste, etc.)"",Protect from animals","https://www.natureconservancy.ca/en/blog/archive/conversations-in-the-forest.html
https://www.theatlantic.com/science/archive/2016/04/the-wood-wide-web/478224/"
34,,,,,"AoB Plants,New Phytologist,Scientific Reports",https://link.springer.com/chapter/10.1007/978-3-319-75596-0_10,"Process resources,Protect from harm","Distribute resources,Protect from living threats","Compete within/between species,Distribute liquids,Distribute solids,Send chemical signals,Protect from animals","Cooperate within an ecosystem,Cooperate/compete between different species,Distribute liquids,Distribute solids,""Send chemical signals (odor, taste, etc.)"",Protect from animals","https://www.natureconservancy.ca/en/blog/archive/conversations-in-the-forest.html
https://www.theatlantic.com/science/archive/2016/04/the-wood-wide-web/478224/"
35,,,,,Science,https://www.sciencemag.org/news/2011/11/leonardos-formula-explains-why-trees-dont-splinter,Protect from harm,Protect from non-living threats,Protect from wind,Protect from wind,https://www.sciencemag.org/news/2011/11/leonardos-formula-explains-why-trees-dont-splinter
36,,,,,"Journal of Mechanical Behavior of Biomedical Materials,Nature communications,Bioinspiration & Biomimetics,Comparative Biomechanics: Life's Physical World",https://www.sciencedirect.com/science/article/pii/S1751616112002482?via%3Dihub,Maintain structural integrity,"Manage structural forces,Prevent structural failure","Manage stress/strain,Prevent fracture/rupture","Manage compression,Prevent fracture/rupture",
37,,,,,"Journal of Mechanical Behavior of Biomedical Materials,Nature communications,Bioinspiration & Biomimetics,Comparative Biomechanics: Life's Physical World",https://www.nature.com/articles/ncomms4166,Maintain structural integrity,"Manage structural forces,Prevent structural failure","Manage stress/strain,Prevent fracture/rupture","Manage compression,Prevent fracture/rupture",
38,,,,,"Journal of Mechanical Behavior of Biomedical Materials,Nature communications,Bioinspiration & Biomimetics,Comparative Biomechanics: Life's Physical World",https://iopscience.iop.org/article/10.1088/1748-3182/5/3/035001,Maintain structural integrity,"Manage structural forces,Prevent structural failure","Manage stress/strain,Prevent fracture/rupture","Manage compression,Prevent fracture/rupture",
39,,,,,Parasitology International,https://www.sciencedirect.com/science/article/pii/S1383576907001298?via%3Dihub,Protect from harm,Protect from non-living threats,Protect from chemicals,"Chemically assemble mineral crystals,Protect from chemicals",
40,,,,,"Comparative Biomechanics: Life's Physical World,Materials Today",https://www.sciencedirect.com/science/article/pii/S1369702102012373?via%3Dihub,Maintain structural integrity,"Manage structural forces,Prevent structural failure","Manage stress/strain,Manage impact,Prevent buckling","Manage compression,Manage impact,Prevent buckling",
41,,,,,Current Opinion in Plant Biology,https://www.sciencedirect.com/science/article/pii/S1369526607000398?via%3Dihub,Protect from harm,Protect from non-living threats,Protect from excess liquids,"Chemically assemble polymers,Protect from excess liquids",
42,,,,,Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology,https://www.sciencedirect.com/science/article/pii/S1095643306000511,,,,Maintain homeostasis,
43,,,,,"Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology,Gene",https://www.sciencedirect.com/science/article/pii/S1095643303003155?via%3Dihub,Protect from harm,Protect from non-living threats,Protect from temperature,"Maintain homeostasis,Protect from temperature,Regulate cellular processes",
44,,,,,"Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology,Gene",https://www.sciencedirect.com/science/article/abs/pii/S0378111908003387?via%3Dihub,Protect from harm,Protect from non-living threats,Protect from temperature,"Maintain homeostasis,Protect from temperature,Regulate cellular processes",
45,,,,,Journal of Structural Biology,https://www.sciencedirect.com/science/article/pii/S1047847711002346?via%3Dihub,Process resources,"Store resources,Capture resources,Absorb and/or filter resources","Capture solids,Store soilds,Absorb and/or filter solids","Chemically assemble mineral crystals,""Modify concentration (of ions, solutes, etc)""",
46,,,,,Journal of Structural Biology,https://www.sciencedirect.com/science/article/pii/S1047847711002012?via%3Dihub,Physically assemble/disassemble,Physically assemble structure,,"Chemically assemble mineral crystals,Physically assemble structure",
47,,,,,"Journal of Structural Biology,Biophysical Journal,Science,Comparative Biomechanics: Life's Physical World",https://www.sciencedirect.com/science/article/pii/S1047847706003352?via%3Dihub,Maintain structural integrity,"Manage structural forces,Prevent structural failure","Manage wear,Prevent deformation,Manage stress/strain","Manage mechanical wear,Manage tension,Modify material characteristics,Prevent deformation",https://www.sciencedaily.com/releases/2010/03/100304142234.htm
48,,,,,"Journal of Structural Biology,Biophysical Journal,Science,Comparative Biomechanics: Life's Physical World",https://www.cell.com/biophysj/fulltext/S0006-3495(06)72331-1,Maintain structural integrity,"Manage structural forces,Prevent structural failure","Manage wear,Prevent deformation,Manage stress/strain","Manage mechanical wear,Manage tension,Modify material characteristics,Prevent deformation",https://www.sciencedaily.com/releases/2010/03/100304142234.htm
49,,,,,"Journal of Structural Biology,Biophysical Journal,Science,Comparative Biomechanics: Life's Physical World",https://science.sciencemag.org/content/328/5975/216,Maintain structural integrity,"Manage structural forces,Prevent structural failure","Manage wear,Prevent deformation,Manage stress/strain","Manage mechanical wear,Manage tension,Modify material characteristics,Prevent deformation",https://www.sciencedaily.com/releases/2010/03/100304142234.htm
50,,,,,Journal of Structural Biology,https://www.sciencedirect.com/science/article/pii/S1047847703001424,Protect from harm,Protect from non-living threats,Protect from temperature,Protect from temperature,
51,,,,,"Comparative Biomechanics: Life's Physical World,Current Biology",https://www.sciencedirect.com/science/article/pii/S0960982202008060?via%3Dihub#FIG2,Move,Passive movement,Passively move through/on solids,Move in/on solids,
52,,,,,"Comparative Biomechanics: Life's Physical World,Current Biology",https://www.sciencedirect.com/science/article/pii/S0960982200007648#FIG1,Move,Passive movement,Passively move through/on solids,Move in/on solids,
53,,,,,"Comparative Biomechanics: Life's Physical World,Current Biology",https://www.sciencedirect.com/science/article/pii/S0960982200007648,Move,Passive movement,Passively move through/on solids,Move in/on solids,
54,,,,,"Comparative Biomechanics: Life's Physical World,Current Biology",https://www.cell.com/current-biology/pdf/S0960-9822(02)00806-0.pdf,Move,Active movement,Move through/on solids,Move in/on solids,
55,,,,,Solar Energy Materials and Solar Cells,https://www.sciencedirect.com/science/article/pii/S0927024808002729?via%3Dihub,Protect from harm,Protect from non-living threats,"Protect from light,Protect from temperature","Protect from light,Protect from temperature",
56,,,,,Progress in Organic Coatings,https://www.sciencedirect.com/science/article/pii/S0300944006002657,Protect from harm,Protect from non-living threats,Protect from light,"Protect from light,""Capture, absorb, or filter energy""",
57,,,,,South African Journal of Botany,https://www.sciencedirect.com/science/article/pii/S0254629913002408,"""Sense, send, or process information""","Sense signals/environmental cues,Process signals","Sense atmospheric conditions,Respond to signals,Sense light in the non-visible spectrum","Adapt phenotype,Regulate cellular processes",
58,,,,,Journal of Plant Physiology,https://www.sciencedirect.com/science/article/pii/S0176161705004529?via%3Dihub,Protect from harm,Protect from non-living threats,Protect from excess liquids,Protect from excess liquids,
60,,,,,"Materials Today,Nature",https://www.sciencedirect.com/science/article/pii/S136970211070016X?via%3Dihub,Maintain structural integrity,Manage structural forces,"Manage wear,Manage shear","Chemically assemble mineral crystals,Manage mechanical wear,Manage shear",
61,,,,,"Materials Today,Nature",https://www.nature.com/articles/nature09686,Maintain structural integrity,Manage structural forces,"Manage wear,Manage shear","Chemically assemble mineral crystals,Manage mechanical wear,Manage shear",
62,,,,,Zoologischer Anzeiger - A Journal of Comparative Zoology,https://www.sciencedirect.com/science/article/pii/S0044523105000616?via%3Dihub,Attach,Attach temporarily,,Attach temporarily,
63,,,,,Journal of Experimental Marine Biology and Ecology,https://www.sciencedirect.com/science/article/pii/S0022098110000948?via%3Dihub,"Protect from harm,""Sense, send, or process information"",Change size or color","Protect from living threats,Send signals,Modify color","Protect from animals,Send light signals in the visible spectrum,Camouflage/mimicry","Modify light/color,Protect from animals,Send light signals in the visible spectrum,""Capture, absorb, or filter organisms""",https://www.seeker.com/sharks-can-become-invisible-1765059282.html
64,,,,,Journal of Experimental Marine Biology and Ecology,https://www.sciencedirect.com/science/article/pii/S0022098108004085,Process resources,Distribute resources,Distribute energy,"Distribute energy,""Capture, absorb, or filter energy""",
65,,,,,Biophysical Journal,https://www.sciencedirect.com/science/article/pii/S0006349508786247,Maintain structural integrity,Manage structural forces,Manage stress/strain,Manage compression,
66,,,,,"Biochimica et Biophysica Acta (BBA),Nature,Biology of Plants",https://www.sciencedirect.com/science/article/pii/S0005272801002031,"Process resources,Chemically modify or Change energy state","Capture resources,Sense signals/environmental cues,Change energy state","Capture energy,Sense light in the non-visible spectrum,Modify/convert light energy","""Capture, absorb, or filter energy""",
68,,,,,Animal Behaviour,https://www.sciencedirect.com/science/article/pii/S0003347214002747,Maintain ecological community,Individual benefit,Coordinate by self-organization,Coordinate by self-organization,
69,,,,,Journal of Investigative Dermatology,https://www.sciencedirect.com/science/article/pii/S0022202X15309933,"Maintain structural integrity,Protect from harm","Manage structural forces,Prevent structural failure,Protect from non-living threats","Manage wear,Prevent deformation,Protect from excess liquids,Protect from loss of liquids","Manage mechanical wear,Prevent deformation,Protect from excess liquids,Protect from loss of liquids",
70,,,,,"Seed Biology,Canadian Journal of Botany",https://www.sciencedirect.com/science/article/pii/B9780124243019500103?via%3Dihub,"Process resources,Move","Distribute resources,Passive movement","Distribute solids,Passively move through gases","Distribute solids,Modify position,Modify speed,Move in/through gases",
71,,,,,"Seed Biology,Canadian Journal of Botany",https://www.nrcresearchpress.com/doi/10.1139/b72-179,"Process resources,Move","Distribute resources,Passive movement","Distribute solids,Passively move through gases","Distribute solids,Modify position,Modify speed,Move in/through gases",
72,,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Marine Biology and Ecology,Journal of Experimental Biology (JEB)",https://www.sciencedirect.com/science/article/pii/0022098192902386?via%3Dihub,Attach,"Attach permanently,Attach temporarily",,"Attach permanently,Attach temporarily",
73,,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Marine Biology and Ecology,Journal of Experimental Biology (JEB)",https://www.ncbi.nlm.nih.gov/pubmed/11893768,Attach,"Attach permanently,Attach temporarily",,"Attach permanently,Attach temporarily",
74,,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Marine Biology and Ecology",https://www.sciencedirect.com/science/article/pii/002209819190254T?via%3Dihub,Maintain structural integrity,Manage structural forces,"Manage stress/strain,Manage shear","Manage compression,Manage shear,Manage tension",
75,,,,,Acta Biomaterialia,https://www.sciencedirect.com/science/article/abs/pii/S1742706116302409?via%3Dihub,"Maintain structural integrity,Move","Manage structural forces,Active movement,Passive movement","Manage stress/strain,Manage shear,Actively move through gases,Passively move through gases","Manage compression,Manage shear,Manage tension,Move in/through gases",
76,,,,,Journal of Bionic Engineering,https://www.sciencedirect.com/science/article/abs/pii/S1672652909602171,"Maintain structural integrity,Protect from harm","Manage structural forces,Protect from non-living threats","Manage wear,Protect from solids","Manage mechanical wear,Protect from dirt/solids",
77,,,,,Journal of Bionic Engineering,https://www.sciencedirect.com/science/article/abs/pii/S1672652907600109,Protect from harm,Protect from non-living threats,"Protect from solids,Protect from excess liquids","Protect from dirt/solids,Protect from excess liquids",
78,,,,,Journal of Bionic Engineering,https://www.sciencedirect.com/science/article/abs/pii/S1672652907600067,"Maintain structural integrity,Move","Manage structural forces,Active movement",Manage wear,"Manage mechanical wear,Move in/on solids",
79,,,,,Journal of Bionic Engineering,https://www.sciencedirect.com/science/article/abs/pii/S1672652907600018,Protect from harm,Protect from non-living threats,Protect from solids,Protect from dirt/solids,
80,,,,,Biochimica et Biophysica Acta (BBA),https://www.sciencedirect.com/science/article/abs/pii/S1570963908002574?via%3Dihub,Chemically modify or Change energy state,Change energy state,Modify/convert chemical energy,Transform chemical energy,
81,,,,,Arthropod Structure & Development,https://www.sciencedirect.com/science/article/abs/pii/S1467803906000557?via%3Dihub,"""Sense, send, or process information"",Change size or color","Send signals,Modify color","Send light signals in the visible spectrum,Change chemical color/pigmentation","Modify light/color,Send light signals in the visible spectrum",
82,,,,,"Arthropod Structure & Development,British Medical Bulletin,""Journal of the Minerals, Metals & Materials Society (JOM)""",https://www.sciencedirect.com/science/article/abs/pii/S1467803904000325?via%3Dihub,Protect from harm,Protect from non-living threats,"Protect from excess liquids,Protect from loss of liquids","Protect from excess liquids,Protect from loss of liquids",
83,,,,,"Arthropod Structure & Development,British Medical Bulletin,""Journal of the Minerals, Metals & Materials Society (JOM)""",https://academic.oup.com/bmb/article-abstract/24/2/130/258736,Protect from harm,Protect from non-living threats,"Protect from excess liquids,Protect from loss of liquids","Protect from excess liquids,Protect from loss of liquids",
84,,,,,"Arthropod Structure & Development,British Medical Bulletin,""Journal of the Minerals, Metals & Materials Society (JOM)""",https://link.springer.com/article/10.1007%2FBF03220386,Protect from harm,Protect from non-living threats,"Protect from excess liquids,Protect from loss of liquids","Protect from excess liquids,Protect from loss of liquids",
86,,,,,Acta Biomaterialia,https://www.sciencedirect.com/science/article/abs/pii/S1359645405004647?via%3Dihub,Maintain structural integrity,Manage structural forces,Manage impact,Manage impact,http://jacobsschool.ucsd.edu/news/news_releases/release.sfe?id=417
87,,,,,"Current Opinion in Solid State and Materials Science,Applied Physics Letters",https://www.sciencedirect.com/science/article/abs/pii/S1359028604000063?via%3Dihub,Protect from harm,Protect from non-living threats,Protect from solids,Protect from dirt/solids,
88,,,,,"Current Opinion in Solid State and Materials Science,Applied Physics Letters",https://aip.scitation.org/doi/10.1063/1.2841818,Protect from harm,Protect from non-living threats,Protect from solids,Protect from dirt/solids,
89,,,,,Bioresource Technology,https://www.sciencedirect.com/science/article/abs/pii/S0960852410014628?via%3Dihub,"Process resources,Chemically modify or Change energy state","Capture resources,Change energy state","Capture gases,Modify/convert chemical energy",Chemically assemble mineral crystals,
90,,,,,"""Chaos, Solitons & Fractals""",https://www.sciencedirect.com/science/article/abs/pii/S0960077999001228?via%3Dihub,"""Sense, send, or process information""",Process signals,Differentiate signal from noise,Differentiate signal from noise,
91,,,,,"Zoology,Journal of Morphology",https://www.sciencedirect.com/science/article/abs/pii/S0944200611000535?via%3Dihub,Maintain structural integrity,Manage structural forces,"Manage stress/strain,Manage shear","Manage compression,Manage shear",
92,,,,,"Zoology,Journal of Morphology",https://onlinelibrary.wiley.com/doi/abs/10.1002/jmor.10974,Maintain structural integrity,Manage structural forces,"Manage stress/strain,Manage shear","Manage compression,Manage shear",
93,,,,,"European Journal of Protistology,Cellular Membranes of Amoeba",https://www.sciencedirect.com/science/article/abs/pii/S0932473904000094?via%3Dihub,Protect from harm,Protect from non-living threats,Protect from light,Protect from light,
94,,,,,Materials Science and Engineering,https://www.sciencedirect.com/science/article/abs/pii/S0928493100001661,Chemically modify or Change energy state,Chemically break down,Chemically break down organic compounds,Chemically break down organic compounds,
95,,,,,Materials Science and Engineering,https://www.sciencedirect.com/science/article/abs/pii/S0928493100001338?via%3Dihub,Maintain structural integrity,Prevent structural failure,Prevent fracture/rupture,Prevent fracture/rupture,https://www.engineering.com/DesignerEdge/DesignerEdgeArticles/ArticleID/15024/Bamboo-Biomimicry.aspx
96,,,,,Neurocomputing,https://www.sciencedirect.com/science/article/abs/pii/S0925231206004668,"Move,""Sense, send, or process information""",Sense signals/environmental cues,"Move through/on liquids,Sense touch and mechanical forces","Adapt behaviors,Move in/on liquids,Sense touch and mechanical forces in a living system",
97,,,,,"Behavioural Processes,Animal Friendships",https://www.sciencedirect.com/science/article/abs/pii/S0376635719303377?dgcid=author,Maintain ecological community,Individual benefit,Coordinate by self-organization,Coordinate by self-organization,http://www.exeter.ac.uk/news/homepage/title_787828_en.html
98,,,,,"Behavioural Processes,Animal Friendships",https://books.google.com/books?hl=en&lr=&id=srWdAWBHyp4C&oi=fnd&pg=PP7&dq=animal+friendships&ots=Z15bpY087X&sig=1h5zhI8oaSMoXiRfFVaQcsTcaK4#v=onepage&q=animal%20friendships&f=false,Maintain ecological community,Individual benefit,Coordinate by self-organization,Coordinate by self-organization,http://www.exeter.ac.uk/news/homepage/title_787828_en.html
99,,,,,"""Flora - Morphology, Distribution, Functional Ecology of Plants""",https://www.sciencedirect.com/science/article/abs/pii/S0367253010001015?via%3Dihub,Process resources,Store resources,Store liquids,"Store liquids,""Capture, absorb, or filter liquids""",
100,,,,,"""Flora - Morphology, Distribution, Functional Ecology of Plants""",https://www.sciencedirect.com/science/article/abs/pii/S0367253005001258,Protect from harm,Protect from living threats,Protect from animals,Protect from animals,
101,,,,,Journal of Thermal Biology,https://www.sciencedirect.com/science/article/abs/pii/S0306456510000276?via%3Dihub,Protect from harm,Protect from non-living threats,Protect from temperature,"Maintain homeostasis,Protect from temperature",https://www.telegraph.co.uk/news/earth/wildlife/7663160/Elephants-use-hot-spots-to-stay-cool.html
102,,,,,Biosystems,https://www.sciencedirect.com/science/article/abs/pii/S0303264706001791?via%3Dihub,"""Sense, send, or process information""",Sense signals/environmental cues,Sense sound/vibrations,Sense sound and other vibrations from the environment,
103,,,,,"Comparative Biochemistry and Physiology Part A: Physiology,Journal of Experimental Biology (JEB),Annual Review of Ecology and Systematics",https://www.sciencedirect.com/science/article/abs/pii/S0300962996002708?via%3Dihub,Protect from harm,Protect from non-living threats,"Protect from ice,Protect from temperature","Protect from ice,Protect from temperature",https://www.thenakedscientists.com/articles/interviews/cryoprotectant-molecules-natures-anti-freeze
104,,,,,"Comparative Biochemistry and Physiology Part A: Physiology,Journal of Experimental Biology (JEB),Annual Review of Ecology and Systematics",https://jeb.biologists.org/content/216/11/1961,Protect from harm,Protect from non-living threats,"Protect from ice,Protect from temperature","Protect from ice,Protect from temperature",https://www.thenakedscientists.com/articles/interviews/cryoprotectant-molecules-natures-anti-freeze
105,,,,,"Comparative Biochemistry and Physiology Part A: Physiology,Journal of Experimental Biology (JEB),Annual Review of Ecology and Systematics",https://jeb.biologists.org/content/217/12/2193,Protect from harm,Protect from non-living threats,"Protect from ice,Protect from temperature","Protect from ice,Protect from temperature",https://www.thenakedscientists.com/articles/interviews/cryoprotectant-molecules-natures-anti-freeze
106,,,,,"Comparative Biochemistry and Physiology Part A: Physiology,Journal of Experimental Biology (JEB),Annual Review of Ecology and Systematics",https://www.annualreviews.org/doi/10.1146/annurev.ecolsys.27.1.365,Protect from harm,Protect from non-living threats,"Protect from ice,Protect from temperature","Protect from ice,Protect from temperature",https://www.thenakedscientists.com/articles/interviews/cryoprotectant-molecules-natures-anti-freeze
108,,,,,Acta Biomaterialia,https://www.sciencedirect.com/science/article/abs/pii/S174270611000070X?via%3Dihub,Maintain structural integrity,Manage structural forces,"Manage wear,Manage shear","Chemically assemble polymers,Manage mechanical wear,Manage shear",
109,,,,,Plant Science,https://www.sciencedirect.com/science/article/abs/pii/S0168945211001270?via%3Dihub,Protect from harm,Protect from non-living threats,"Protect from excess liquids,Protect from loss of liquids,Protect from temperature","Protect from excess liquids,Protect from loss of liquids,Protect from temperature",
110,,,,,Biochimica et Biophysica Acta (BBA),https://www.sciencedirect.com/science/article/abs/pii/S0167483899001600?via%3Dihub,Chemically modify or Change energy state,Chemically break down,Chemically break down organic compounds,Chemically break down organic compounds,https://www.dispatch.com/content/stories/science/2011/05/29/researchers-say-bat-could-aid-stroke-victims.html
