,DOI,Paper title,Abstract,Journal,URL,Functions,PDF,Press release,publisher
171,,,,"PNAS,Nature Reviews Microbiology",https://www.pnas.org/content/105/13/5139,"Modify free radical reactivity,Protect from nuclear radiation",,,pnas
172,,,,PNAS,https://www.pnas.org/content/105/13/5139,"Protect from animals,Regulate reproduction or growth",,,pnas
173,,,,"PNAS,Journal of Chemical Ecology",https://www.pnas.org/content/104/43/16964,"Protect from plants,Regulate reproduction or growth,""Biological control of populations, pests, diseases""",,,pnas
174,,,,"PNAS,Behavioral Ecology and Sociobiology,""The Bees of the World, Second Edition"",The Beekeeper's Handbook",https://www.pnas.org/content/104/36/14383,"Cooperate within the same species,Sense sound and other vibrations from the environment,""Sense chemicals (odor, taste, etc.) from the environment""",,,pnas
175,,,,PNAS,https://www.pnas.org/content/104/18/7600,Chemically break down organic compounds,,,pnas
176,,,,PNAS,https://www.pnas.org/content/104/18/7600,"Chemically generate flow of electrons (redox),Modify chemical potential",,,pnas
177,,,,PNAS,https://www.pnas.org/content/103/46/17543,Transform mechanical energy,,,pnas
178,,,,PNAS,https://www.pnas.org/content/103/15/5764.full?m,Attach permanently,,http://pubsapp.acs.org/cen/news/84/i16/8416biomaterials.html?,pnas
179,,,,"PNAS,Journal of Experimental Biology (JEB),Physiological and Biochemical Zoology,Annual Review of Fluid Mechanics",https://www.pnas.org/content/102/50/18213.full?origin=publication_detail,Move in/through gases,,,pnas
180,,,,"PNAS,Nature",https://www.pnas.org/content/102/7/2555.full,"Regulate reproduction or growth,Transform chemical energy",,,pnas
181,,,,PNAS,https://www.pnas.org/content/102/2/385,"Attach temporarily,Move in/on solids,Protect from dirt/solids,Protect from excess liquids",,,pnas
182,,,,"PNAS,Plant Signaling & Behavior,Proceedings of the Royal Society B",https://www.pnas.org/content/101/39/14138,,,,pnas
183,,,,PNAS,https://www.pnas.org/content/98/24/13745,"Protect from animals,Send light signals in the non-visible spectrum",,,pnas
184,,,,"For the Love of Insects,PNAS,Integrative and Comparative Biology",https://www.pnas.org/content/97/12/6568,Attach temporarily,,,pnas
185,,,,"Design and Nature II: Comparing Design in Nature with Science and Engineering,PNAS,Journal of Experimental Biology (JEB)",https://www.pnas.org/content/96/17/9705,"Expel liquids,Transform thermal energy",,,pnas
212,,,,Scientific Reports,https://www.nature.com/articles/srep18140,,,"https://www.smithsonianmag.com/smart-news/dung-beetles-offset-climate-change-2815126/

https://www.nationalgeographic.com/news/2013/9/130904-dung-beetles-global-warming-animals-science/",nature
213,,,,Scientific Reports,https://www.nature.com/articles/srep11890,Coordinate by self-organization,,https://www.nytimes.com/2020/03/02/science/animals-voting-elections.html,nature
214,,,,Scientific Reports,https://www.nature.com/articles/srep06004,Sense light (visible spectrum) from the environment,,,nature
215,,,,"Scientific Reports,Neuroscience",https://www.nature.com/articles/srep02617,"Sense shape and pattern in a living system,Sense touch and mechanical forces in a living system",,,nature
216,,,,Scientific Reports,https://www.nature.com/articles/srep02108,"Manage impact,""Capture, absorb, or filter organisms"",""Capture, absorb, or filter liquids""",,http://www.natureworldnews.com/articles/2812/20130705/spider-webs-react-electrically-charged-insects-increasing-capture-chances-video.htm,nature
217,,,,Scientific Reports,https://www.nature.com/articles/srep01846,"""Capture, absorb, or filter energy""",,,nature
218,,,,"Frontiers in Immunology,Scientific Reports",https://www.nature.com/articles/s41598-020-64264-1,,,,nature
219,,,,Scientific Reports,https://www.nature.com/articles/s41598-019-39583-7,"Protect from microbes,Cooperate/compete between different species,Manage disturbance in a community,""Biological control of populations, pests, diseases""",,https://www.sciencedaily.com/releases/2019/03/190301123242.htm,nature
220,,,,"AIP Conference Proceedings,Nature,RSC Advances",https://www.nature.com/articles/s41598-018-26571-6,Modify light/color,,,nature
221,,,,Nature,https://www.nature.com/articles/s41586-020-1990-9,"Protect from microbes,Regulate reproduction or growth",,https://www.sciencedaily.com/releases/2020/02/200212131523.htm,nature
222,,,,Nature plants,https://www.nature.com/articles/s41477-018-0330-7,,,https://phys.org/news/2018-12-uncover-molecular-sporopollenin-polymer.html,nature
223,,,,Nature communications,https://www.nature.com/articles/s41467-020-14547-y.pdf?origin=ppub,Coordinate by self-organization,,,nature
224,,,,Nature communications,https://www.nature.com/articles/s41467-019-13660-x,"Cooperate within the same species,Physically assemble structure,Protect from chemicals",,https://nieuws.kuleuven.be/en/content/2020/researchers-discover-new-strategy-in-the-fight-against-antibiotic-resistance,nature
225,,,,"Nature Reviews Microbiology,Macromolecular Bioscience",https://www.nature.com/articles/nrmicro2354,Chemically assemble polymers,,,nature
226,,,,Nature Reviews Microbiology,https://www.nature.com/articles/nrmicro1442,"Chemically generate flow of electrons (redox),Modify oxidation state",,,nature
227,,,,"Nature Reviews Microbiology,The Hidden Powers of Animals: Uncovering the Secrets of Nature",https://www.nature.com/articles/nrmicro842,"Modify position,Sense balance/orientation,Sense electricity/magnetism from the environment",,,nature
228,,,,"Microporous and Mesoporous Materials,Annual Review of Microbiology",https://www.nature.com/articles/nrmicro.2018.10,"Catalyze chemical breakdown,""Capture, absorb, or filter energy"",""Modify concentration (of ions, solutes, etc)""",,,nature
229,,,,"Nature Reviews Molecular Cell Biology,Journal of Biological Chemistry",https://www.nature.com/articles/nrm2417,"Compute,Differentiate signal from noise,Learn,Respond to signals,Send electrical/magnetic signals,Transduce/convert signals",,,nature
230,,,,Nature Reviews Molecular Cell Biology,https://www.nature.com/articles/nrm1130,Modify material characteristics,,,nature
231,,,,Nature Physics,https://www.nature.com/articles/nphys1797,"Chemically assemble molecular devices,Chemically assemble on demand,Physically assemble structure",,,nature
232,,,,Nature Nanotechnology,https://www.nature.com/articles/nnano.2011.12,"""Capture, absorb, or filter chemical entities"",""Sense chemicals (odor, taste, etc.) from the environment""",,https://www.eurekalert.org/pub_releases/2011-02/uom-sma022811.php,nature
233,,,,Nature Materials,https://www.nature.com/articles/nmat858,"Physically assemble structure,""Capture, absorb, or filter organisms""",,,nature
234,,,,Nature Immunology,https://www.nature.com/articles/ni1503,Maintain homeostasis,,,nature
235,,,,"Nature communications,Nature",https://www.nature.com/articles/ncomms11092,"Distribute solids,""Capture, absorb, or filter organisms"",""Capture, absorb, or filter solids""",,https://theconversation.com/what-can-fish-mouths-teach-us-about-engineering-clog-free-filters-56877,nature
236,,,,Nature communications,https://www.nature.com/articles/ncomms1373,Chemically break down polymers,,,nature
237,,,,Nature Chemical Biology,https://www.nature.com/articles/nchembio0907-537,Cleave heavy metals from organic compunds,,http://pubsapp.acs.org/cen/news/85/i29/8529notw8.html?,nature
238,,,,"Nature Chemical Biology,Nature",https://www.nature.com/articles/nchembio0906-453,Chemically generate flow of electrons (redox),,,nature
239,,,,Nature Chemical Biology,https://www.nature.com/articles/nchembio0207-86,Catalyze chemical breakdown,,,nature
240,,,,Nature Chemical Biology,https://www.nature.com/articles/nchembio0107-15,"Protect from chemicals,Store chemical entities,""Capture, absorb, or filter chemical entities""",,,nature
241,,,,Nature Chemical Biology,https://www.nature.com/articles/nchembio.2007.5,"Protect from animals,""Send chemical signals (odor, taste, etc.)""",,,nature
242,,,,"Nature Chemical Biology,Journal of Biological Chemistry,Science",https://www.nature.com/articles/nchembio.1842,"Attach permanently,Physically assemble structure,""Capture, absorb, or filter organisms""",,,nature
243,,,,Nature Chemical Biology,https://www.nature.com/articles/nchembio.331,,,https://www.sciencedaily.com/releases/2010/02/100228131339.htm,nature
244,,,,Nature Chemistry,https://www.nature.com/articles/nchem.822,"Chemically assemble polymers,Chemically break down polymers,""Sense chemicals (odor, taste, etc.) from the environment""",,https://www.sciencenews.org/article/light-harvesting-complexes-do-it-themselves,nature
245,,,,Nature,https://www.nature.com/articles/nature12740,,,,nature
246,,,,"Nature,Journal of comparative physiology",https://www.nature.com/articles/nature10245,Sense temperature cues from the environment,,https://www.nature.com/news/2011/110803/full/news.2011.454.html,nature
247,,,,Nature,https://www.nature.com/articles/nature09265,"Catalyze chemical breakdown,Chemically assemble metal-based compounds",,,nature
248,,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Nature",https://www.nature.com/articles/nature08943,"Sense temperature cues from the environment,""Capture, absorb, or filter organisms""",,https://www.nature.com/news/2010/100314/full/news.2010.122.html?s=news_rss,nature
249,,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Nature",https://www.nature.com/articles/nature08943,"Sense temperature cues from the environment,""Capture, absorb, or filter organisms""",,https://www.nature.com/news/2010/100314/full/news.2010.122.html?s=news_rss,nature
250,,,,"Nature,PNAS",https://www.nature.com/articles/nature08936,"Chemically assemble on demand,Modify material characteristics,Store chemical entities",,"https://www.sciencedaily.com/releases/2010/05/100512131511.htm
https://www.scientificamerican.com/article/researchers-build-micro-s/",nature
251,,,,Nature,https://www.nature.com/articles/nature08729,"""Capture, absorb, or filter liquids""",,,nature
252,,,,Nature,https://www.nature.com/articles/nature08698,Maintain homeostasis,,https://www.sciencedaily.com/releases/2010/01/100120131153.htm,nature
253,,,,Nature,https://www.nature.com/articles/nature06154,,,,nature
254,,,,Nature,https://www.nature.com/articles/nature06101,"""Sense chemicals (odor, taste, etc.) from the environment""",,,nature
255,,,,Nature,https://www.nature.com/articles/nature06062,"""Capture, absorb, or filter organisms""",,,nature
256,,,,"Nature,Journal of Experimental Biology (JEB)",https://www.nature.com/articles/nature05733,Move in/through gases,,,nature
257,,,,Nature,https://www.nature.com/articles/nature05678,Distribute energy,,,nature
258,,,,Nature,https://www.nature.com/articles/nature05466,"""Sense chemicals (odor, taste, etc.) from the environment""",,,nature
259,,,,Nature,https://www.nature.com/articles/nature03661,"Adapt genotype,Optimize shape/materials,Respond to signals,Transduce/convert signals",,https://www.asmscience.org/content/journal/microbe/10.1128/microbe.4.506.1,nature
260,,,,"Nature,Proceedings of the Royal Society B,Journal of the Royal Society Interface",https://www.nature.com/articles/nature03647,"Modify buoyancy,Modify position,Modify speed,Move in/through gases",,https://www.nature.com/news/hummingbird-flight-has-a-clever-twist-1.9639#b2,nature
261,,,,"Nature,Current Biology",https://www.nature.com/articles/nature03185,"Sense touch and mechanical forces in a living system,""Capture, absorb, or filter organisms""",,,nature
262,,,,Nature,https://www.nature.com/articles/nature03185,"Modify size/shape/mass/volume,Transform mechanical energy,""Capture, absorb, or filter organisms""",,https://www.scientificamerican.com/article/secret-of-the-venus-fly-t/,nature
263,,,,Nature,https://www.nature.com/articles/nature02435,"Modify speed,Move in/on liquids",,,nature
264,,,,Nature,https://www.nature.com/articles/nature02403,"Optimize shape/materials,Physically assemble structure,""Capture, absorb, or filter energy""",,https://www.wur.nl/nl/show/Tough-leaves-live-longer.htm,nature
265,,,,Nature,https://www.nature.com/articles/nature01416,"Manage compression,Manage impact,Manage tension",,,nature
266,,,,"The ISME Journal,Science",https://www.nature.com/articles/ismej200775,"""Capture, absorb, or filter chemical entities""",,,nature
267,,,,The ISME Journal,https://www.nature.com/articles/ismej20074,Transform electrical energy,,,nature
268,,,,Nature,https://www.nature.com/articles/35099670,"Modify buoyancy,Move in/through gases",,,nature
269,,,,"Nature,Journal of Materials Chemistry",https://www.nature.com/articles/35090573,Sense light (visible spectrum) from the environment,,,nature
270,,,,"Design and Nature II: Comparing Design in Nature with Science and Engineering,Nature",https://www.nature.com/articles/35082144,Sense sound and other vibrations from the environment,,,nature
271,,,,Nature,https://www.nature.com/articles/35070695,Sense sound and other vibrations from the environment,,https://news.cornell.edu/stories/2001/04/super-fly-lends-ear-bio-inspired-hearing-aids-and-robotic-listening-devices-cornell,nature
272,,,,Nature,https://www.nature.com/articles/35018159,"Catalyze chemical breakdown,Protect from chemicals",,,nature
273,,,,Nature,https://www.nature.com/articles/4401005a,"Manage compression,Manage tension",,,nature
274,,,,Nature,https://www.nature.com/articles/4401005a,"Manage compression,Manage tension",,https://www.newscientist.com/article/mg17924041-900-soft-shelled-crabs-get-all-pumped-up/,nature
275,,,,Nature,https://www.nature.com/articles/449151a,,,,nature
276,,,,Nature,https://www.nature.com/articles/438442a,"Coordinate by self-organization,""Send chemical signals (odor, taste, etc.)""",,,nature
277,,,,Nature,https://www.nature.com/articles/435164a,"Expel solids,Modify speed,Move in/through gases,Pollinate",,,nature
278,,,,Nature,https://www.nature.com/articles/424899a,,,https://www.scientificamerican.com/article/sea-sponge-inspires-bette/,nature
279,,,,Nature,https://www.nature.com/articles/423923a,Distribute liquids,,,nature
280,,,,Nature,https://www.nature.com/articles/423021a,"""Modify concentration (of ions, solutes, etc)""",,,nature
281,,,,Nature,https://www.nature.com/articles/421495a,Sense temperature cues from the environment,,,nature
282,,,,"Nature,Design and Nature II: Comparing Design in Nature with Science and Engineering",https://www.nature.com/articles/420475a,Send sound signals,,,nature
283,,,,"Nature,The Private Life of Plants",https://www.nature.com/articles/378766a0,,,,nature
284,,,,"Nature,The Hidden Powers of Animals: Uncovering the Secrets of Nature,Journal of the American Chemical Society",https://www.nature.com/articles/325146a0,"Protect from ice,Protect from temperature",,https://www.eurekalert.org/pub_releases/2010-08/rb-wfd082510.php,nature
285,,,,"Nature,Science of the Total Environment",https://www.nature.com/articles/297062a0,"Chemically break down organic compounds,Protect from chemicals",,,nature
286,,,,"Nature,Earth Surface Processes and Landforms",https://www.nature.com/articles/247074a0.pdf?proof=true,"Store chemical entities,""Capture, absorb, or filter chemical entities""",,,nature
287,,,,Nature,https://www.nature.com/articles/217086b0,Distribute liquids,,,nature
288,,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Nature,The Canadian Entomologist",https://www.nature.com/articles/176657a0.epdf,"Coordinate activities,Regulate reproduction or growth,Sense time and day length",,,nature
289,,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Nature",https://www.nature.com/articles/30871,,,,nature
534,,,,Naturwissenschaften,https://pubmed.ncbi.nlm.nih.gov/22057952/,"Attach temporarily,Chemically assemble organic compounds",,,pubmed
535,,,,"For the Love of Insects,Integrative and Comparative Biology",https://pubmed.ncbi.nlm.nih.gov/21680397/,"Attach permanently,Attach temporarily",,,pubmed
536,,,,"American Journal of Botany,Botanical Review",https://pubmed.ncbi.nlm.nih.gov/21636505/,"Disperse seeds,Move in/through gases,Pollinate",,,pubmed
537,,,,Phytochemistry,https://pubmed.ncbi.nlm.nih.gov/20655556/,"Protect from animals,Protect from fungi,Protect from microbes",,,pubmed
538,,,,Biological Bulletin,https://pubmed.ncbi.nlm.nih.gov/20570851/,"Chemically assemble on demand,Protect from animals",,,pubmed
539,,,,Journal of Structural Biology,https://pubmed.ncbi.nlm.nih.gov/20433929/,"Prevent deformation,Prevent fracture/rupture,Protect from animals",,,pubmed
540,,,,New Phytologist,https://pubmed.ncbi.nlm.nih.gov/20298484/,"Cooperate within an ecosystem,Protect from animals",,https://www.sciencedaily.com/releases/2010/03/100309202931.htm,pubmed
541,,,,Chemical Communications,https://pubmed.ncbi.nlm.nih.gov/20024205/,"Physically assemble structure,Regulate cellular processes",,https://www.abc.net.au/science/articles/2009/12/01/2758262.htm,pubmed
542,,,,"For the Love of Insects,Medical and Veterinary Entomology",https://pubmed.ncbi.nlm.nih.gov/19712151/,"Protect from animals,""Send chemical signals (odor, taste, etc.)""",,,pubmed
544,,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Molecular Biology and Evolution",https://pubmed.ncbi.nlm.nih.gov/17703050/,Attach permanently,,,pubmed
545,,,,Plant and Cell Physiology,https://pubmed.ncbi.nlm.nih.gov/17504814/,Modify position,,,pubmed
546,,,,Photosynthesis Research,https://pubmed.ncbi.nlm.nih.gov/17497225/,"""Capture, absorb, or filter chemical entities"",""Capture, absorb, or filter gases""",,,pubmed
547,,,,Current Opinion in Biotechnology,https://pubmed.ncbi.nlm.nih.gov/17493798/,Chemically break down organic compounds,,,pubmed
548,,,,"Current Issues in Molecular Biology,Journal of Polymers and the Environment",https://pubmed.ncbi.nlm.nih.gov/17263145/,Chemically assemble polymers,,,pubmed
549,,,,The Journal of Biochemistry,https://pubmed.ncbi.nlm.nih.gov/16963787/,Send light signals in the visible spectrum,,,pubmed
550,,,,Microbial Ecology,https://pubmed.ncbi.nlm.nih.gov/16944346/,Chemically break down organic compounds,,,pubmed
551,,,,Molecular BioSystems,https://pubmed.ncbi.nlm.nih.gov/16880983/,,,,pubmed
553,,,,Physical Review E,https://pubmed.ncbi.nlm.nih.gov/16711845/,"Send light signals in the visible spectrum,Transform radiant energy (light)",,,pubmed
554,,,,Plant Physiology,https://pubmed.ncbi.nlm.nih.gov/16461386/,"Send light signals in the non-visible spectrum,Transform thermal energy",,,pubmed
555,,,,Annals of Botany,https://pubmed.ncbi.nlm.nih.gov/16287905/,"Disperse seeds,Distribute solids",,,pubmed
556,,,,Physical Review E,https://pubmed.ncbi.nlm.nih.gov/15697629/,Protect from light,,https://www.newscientist.com/article/mg19626285-100-slap-on-the-edelweiss-for-the-ultimate-sunscreen/,pubmed
558,,,,Journal of Comparative Physiology B,https://pubmed.ncbi.nlm.nih.gov/15578188/,"Cycle nutrients,Expel gases,Maintain homeostasis,Modify phase,Protect from chemicals",,,pubmed
559,,,,"How Life Learned to Live: Adaptation in Nature,Naturwissenschaften",https://pubmed.ncbi.nlm.nih.gov/15257392/,"Physically assemble structure,Sense shape and pattern in a living system",,,pubmed
560,,,,Journal of Morphology,https://pubmed.ncbi.nlm.nih.gov/15164371/,"Move in/on liquids,Store energy",,,pubmed
561,,,,Naturwissenschaften,https://pubmed.ncbi.nlm.nih.gov/14740100/,"Optimize shape/materials,Sense light (visible spectrum) from the environment",,,pubmed
562,,,,Science,https://pubmed.ncbi.nlm.nih.gov/14716016/,Modify light/color,,https://issuu.com/eggermont/docs/zq_issue_04_final/10?e=15278665/11095718,pubmed
563,,,,Rapid Commun Mass Spectrom.,https://pubmed.ncbi.nlm.nih.gov/12717761/,"Protect from light,Protect from loss of liquids",,,pubmed
564,,,,Plant Physiology,https://pubmed.ncbi.nlm.nih.gov/12231662/,"Modify material characteristics,Protect from temperature",,https://www.newscientist.com/article/mg13818692-400-science-how-plants-prepare-for-the-cold-of-night/,pubmed
565,,,,Science,https://pubmed.ncbi.nlm.nih.gov/11935026/,"""Send chemical signals (odor, taste, etc.)""",,,pubmed
566,,,,Biosensors and Bioelectronics,https://pubmed.ncbi.nlm.nih.gov/11849930/,"Modify light/color,Protect from animals,Protect from light,Protect from temperature,""Sense chemicals (odor, taste, etc.) from the environment""",,https://www.newscientist.com/article/mg17323323-900-amphibian-detectives/,pubmed
567,,,,"Journal of Investigative Dermatology,The grand design: Form and colour in animals",https://pubmed.ncbi.nlm.nih.gov/11676819/,Physically assemble structure,,,pubmed
568,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Botany",https://pubmed.ncbi.nlm.nih.gov/11141182/,Protect from wind,,,pubmed
569,,,,"Planta,Environmental Pollution and Plant Responses",https://pubmed.ncbi.nlm.nih.gov/10750904/,"Expel gases,""Capture, absorb, or filter chemical entities""",,,pubmed
570,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Biology (JEB)",https://pubmed.ncbi.nlm.nih.gov/9787125/,Prevent buckling,,,pubmed
571,,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Journal of Experimental Biology (JEB)",https://pubmed.ncbi.nlm.nih.gov/9547323/,"Sense light (non-visible spectrum) from the environment,Sense light (visible spectrum) from the environment,Sense shape and pattern in a living system,Transduce/convert signals",,,pubmed
573,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Biology (JEB)",https://pubmed.ncbi.nlm.nih.gov/1159370/,"Store energy,Transform mechanical energy",,,pubmed
635,,,,"Environmental Science and Pollution Research,Chemosphere,Frontiers in Microbiology",https://link.springer.com/article/10.1065/espr2004.08.213,"Cooperate/compete between different species,Chemically break down organic compounds",,https://www.sciencedaily.com/releases/2013/09/130918181104.htm,springer
637,,,,"Planta,Mycopathologica",https://link.springer.com/article/10.1023/A:1023334628751,Protect from fungi,,,springer
638,,,,"Photosynthesis Research,Carbon Dioxide Fixation",https://link.springer.com/article/10.1023/A:1022421515027,"Catalyze chemical breakdown,Chemically assemble organic compounds,Chemically break down inorganic compounds",,,springer
645,,,,"Journal of Bionic Engineering,Beilstein Journal of Nanotechnology",https://link.springer.com/article/10.1016%2FS1672-6529%2811%2960018-8,Sense light (non-visible spectrum) from the environment,,,springer
650,,,,"Ecosystems,Scientific American,Nature",https://link.springer.com/article/10.1007%2Fs100219900038,,,"https://hbr.org/2001/05/swarm-intelligence-a-whole-new-way-to-think-about-business
https://www.scientificamerican.com/article/swarm-smarts-2008-02/",springer
653,,,,"Planta,Functional Plant Biology",https://link.springer.com/article/10.1007%2Fs004250100576,Modify material characteristics,,,springer
658,,,,"Arthropod-Plant Interactions,Current Biology",https://link.springer.com/article/10.1007%2Fs11829-007-9002-7,Respond to signals,,,springer
664,,,,"Microfluidics and Nanofluidics,PNAS",https://link.springer.com/article/10.1007%2Fs10404-007-0163-6,"Distribute gases,Distribute liquids",,,springer
