DOI,Paper title,Abstract,Journal,Primary lit site,Functions Level I,Functions Level II,Functions Level III- NEW,Functions Level III-OLD,Link to press release
,,,Nature,https://www.nature.com/articles/s41586-020-1990-9,,,"Protect from microbes,Regulate reproduction or growth","Protect from microbes,Regulate reproduction or growth",https://www.sciencedaily.com/releases/2020/02/200212131523.htm
,,,Nature communications,https://www.nature.com/articles/s41467-020-14547-y.pdf?origin=ppub,,,Coordinate by self-organization,Coordinate by self-organization,
,,,Nature communications,"https://www.nature.com/articles/s41467-019-13660-x
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3646963/",,,"Cooperate within/between species,Physically assemble structure,Protect from chemicals","Cooperate within the same species,Physically assemble structure,Protect from chemicals",https://nieuws.kuleuven.be/en/content/2020/researchers-discover-new-strategy-in-the-fight-against-antibiotic-resistance
,,,"Nature Reviews Microbiology,Macromolecular Bioscience","https://www.nature.com/articles/nrmicro2354
https://onlinelibrary.wiley.com/doi/abs/10.1002/1616-5195%28200101%291%3A1%3C1%3A%3AAID-MABI1%3E3.0.CO%3B2-B",,,,Chemically assemble polymers,
,,,Nature Reviews Microbiology,https://www.nature.com/articles/nrmicro1442,,,,"Chemically generate flow of electrons (redox),Modify oxidation state",
,,,"Nature Reviews Microbiology,The Hidden Powers of Animals: Uncovering the Secrets of Nature",https://www.nature.com/articles/nrmicro842,,,"Sense spatial awareness/balance/orientation,Sense electricity/magnetism","Modify position,Sense balance/orientation,Sense electricity/magnetism from the environment",
,,,"Microporous and Mesoporous Materials,Annual Review of Microbiology","https://www.nature.com/articles/nrmicro.2018.10
https://www.sciencedirect.com/science/article/abs/pii/S1387181111005907?via%3Dihub",,,"Catalyze chemical breakdown,""Capture, absorb, or filter energy""","Catalyze chemical breakdown,""Capture, absorb, or filter energy"",""Modify concentration (of ions, solutes, etc)""",
,,,"Nature Reviews Molecular Cell Biology,Journal of Biological Chemistry","https://www.nature.com/articles/nrm2417
https://www.jbc.org/content/277/10/7629",,,"Differentiate signal from noise,Respond to signals,Send electrical/magnetic signals,Convert signals","Compute,Differentiate signal from noise,Learn,Respond to signals,Send electrical/magnetic signals,Transduce/convert signals",
,,,Nature Reviews Molecular Cell Biology,https://www.nature.com/articles/nrm1130,,,,Modify material characteristics,
,,,Nature Physics,https://www.nature.com/articles/nphys1797,,,"Self-assemble,Physically assemble structure","Chemically assemble molecular devices,Chemically assemble on demand,Physically assemble structure",
,,,Nature Nanotechnology,https://www.nature.com/articles/nnano.2011.12,,,"""Capture, absorb, or filter chemical entities"",Sense chemicals","""Capture, absorb, or filter chemical entities"",""Sense chemicals (odor, taste, etc.) from the environment""",https://www.eurekalert.org/pub_releases/2011-02/uom-sma022811.php
,,,Nature Materials,https://www.nature.com/articles/nmat858,,,"Physically assemble structure,""Capture, absorb, or filter organisms""","Physically assemble structure,""Capture, absorb, or filter organisms""",
,,,Nature Immunology,https://www.nature.com/articles/ni1503,,,,Maintain homeostasis,
,,,"Nature communications,Nature","https://www.nature.com/articles/ncomms11092
https://www.nature.com/articles/35086574",,,"Distribute solids,""Capture, absorb, or filter organisms"",""Capture, absorb, or filter solids""","Distribute solids,""Capture, absorb, or filter organisms"",""Capture, absorb, or filter solids""",https://theconversation.com/what-can-fish-mouths-teach-us-about-engineering-clog-free-filters-56877
,,,Nature communications,https://www.nature.com/articles/ncomms1373,,,,Chemically break down polymers,
,,,Nature Chemical Biology,https://www.nature.com/articles/nchembio0907-537,,,,Cleave heavy metals from organic compunds,http://pubsapp.acs.org/cen/news/85/i29/8529notw8.html?
,,,"Nature Chemical Biology,Nature","https://www.nature.com/articles/nchembio0906-453
https://www.nature.com/articles/nature04925",,,,Chemically generate flow of electrons (redox),
,,,Nature Chemical Biology,https://www.nature.com/articles/nchembio0207-86,,,Catalyze chemical breakdown,Catalyze chemical breakdown,
,,,Nature Chemical Biology,https://www.nature.com/articles/nchembio0107-15,,,"Protect from chemicals,""Capture, absorb, or filter chemical entities""","Protect from chemicals,Store chemical entities,""Capture, absorb, or filter chemical entities""",
,,,Nature Chemical Biology,https://www.nature.com/articles/nchembio.2007.5,,,"Protect from animals,Send chemical signals","Protect from animals,""Send chemical signals (odor, taste, etc.)""",
,,,"Nature Chemical Biology,Journal of Biological Chemistry,Science","https://www.nature.com/articles/nchembio.1842
https://www.jbc.org/content/285/49/38115
https://science.sciencemag.org/content/319/5871/1816",,,"Attach permanently,Physically assemble structure,""Capture, absorb, or filter organisms""","Attach permanently,Physically assemble structure,""Capture, absorb, or filter organisms""",
,,,Nature Chemistry,https://www.nature.com/articles/nchem.822,,,Sense chemicals,"Chemically assemble polymers,Chemically break down polymers,""Sense chemicals (odor, taste, etc.) from the environment""",https://www.sciencenews.org/article/light-harvesting-complexes-do-it-themselves
,,,"Nature,Journal of comparative physiology","https://www.nature.com/articles/nature10245
https://link.springer.com/article/10.1007%2FBF00610241",,,Sense temperature cues,Sense temperature cues from the environment,https://www.nature.com/news/2011/110803/full/news.2011.454.html
,,,Nature,https://www.nature.com/articles/nature09265,,,Catalyze chemical breakdown,"Catalyze chemical breakdown,Chemically assemble metal-based compounds",
,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Nature",https://www.nature.com/articles/nature08943,,,"Sense temperature cues,""Capture, absorb, or filter organisms""","Sense temperature cues from the environment,""Capture, absorb, or filter organisms""",https://www.nature.com/news/2010/100314/full/news.2010.122.html?s=news_rss
,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Nature",https://www.nature.com/articles/nature08943,,,"Sense temperature cues,""Capture, absorb, or filter organisms""","Sense temperature cues from the environment,""Capture, absorb, or filter organisms""",https://www.nature.com/news/2010/100314/full/news.2010.122.html?s=news_rss
,,,"Nature,PNAS","https://www.nature.com/articles/nature08936
https://www.pnas.org/content/105/18/6590",,,Self-assemble,"Chemically assemble on demand,Modify material characteristics,Store chemical entities","https://www.sciencedaily.com/releases/2010/05/100512131511.htm
https://www.scientificamerican.com/article/researchers-build-micro-s/"
,,,Nature,https://www.nature.com/articles/nature08729,,,"""Capture, absorb, or filter liquids""","""Capture, absorb, or filter liquids""",
,,,Nature,https://www.nature.com/articles/nature08698,,,,Maintain homeostasis,https://www.sciencedaily.com/releases/2010/01/100120131153.htm
,,,Nature,https://www.nature.com/articles/nature06101,,,Sense chemicals,"""Sense chemicals (odor, taste, etc.) from the environment""",
,,,Nature,https://www.nature.com/articles/nature06062,,,"""Capture, absorb, or filter organisms""","""Capture, absorb, or filter organisms""",
,,,"Nature,Journal of Experimental Biology (JEB)","https://www.nature.com/articles/nature05733
https://jeb.biologists.org/content/211/5/717",,,Move through gases,Move in/through gases,
,,,Nature,https://www.nature.com/articles/nature05678,,,Distribute energy,Distribute energy,
,,,Nature,https://www.nature.com/articles/nature05466,,,Sense chemicals,"""Sense chemicals (odor, taste, etc.) from the environment""",
,,,Nature,https://www.nature.com/articles/nature03661,,,"Optimize shape/materials,Respond to signals,Convert signals","Adapt genotype,Optimize shape/materials,Respond to signals,Transduce/convert signals",https://www.asmscience.org/content/journal/microbe/10.1128/microbe.4.506.1
,,,"Nature,Proceedings of the Royal Society B,Journal of the Royal Society Interface","https://www.nature.com/articles/nature03647
https://royalsocietypublishing.org/doi/full/10.1098/rspb.2011.2238
https://royalsocietypublishing.org/doi/full/10.1098/rsif.2014.0541",,,Move through gases,"Modify buoyancy,Modify position,Modify speed,Move in/through gases",https://www.nature.com/news/hummingbird-flight-has-a-clever-twist-1.9639#b2
,,,"Nature,Current Biology","https://www.nature.com/articles/nature03185
https://www.sciencedirect.com/science/article/pii/S0960982215015018",,,"Sense touch and mechanical forces,""Capture, absorb, or filter organisms""","Sense touch and mechanical forces in a living system,""Capture, absorb, or filter organisms""",
,,,Nature,https://www.nature.com/articles/nature03185,,,"Change size/shape,Modify/convert mechanical energy,""Capture, absorb, or filter organisms""","Modify size/shape/mass/volume,Transform mechanical energy,""Capture, absorb, or filter organisms""",https://www.scientificamerican.com/article/secret-of-the-venus-fly-t/
,,,Nature,https://www.nature.com/articles/nature02435,,,Move through/on liquids,"Modify speed,Move in/on liquids",
,,,Nature,https://www.nature.com/articles/nature02403,,,"Optimize shape/materials,Physically assemble structure,""Capture, absorb, or filter energy""","Optimize shape/materials,Physically assemble structure,""Capture, absorb, or filter energy""",https://www.wur.nl/nl/show/Tough-leaves-live-longer.htm
,,,Nature,https://www.nature.com/articles/nature01416,,,"Manage stress/strain,Manage impact","Manage compression,Manage impact,Manage tension",
,,,"The ISME Journal,Science","https://www.nature.com/articles/ismej200775
https://science.sciencemag.org/content/313/5784/233",,,"""Capture, absorb, or filter chemical entities""","""Capture, absorb, or filter chemical entities""",
,,,The ISME Journal,https://www.nature.com/articles/ismej20074,,,Modify/convert electrical energy,Transform electrical energy,
,,,Nature,https://www.nature.com/articles/35099670,,,Move through gases,"Modify buoyancy,Move in/through gases",
,,,"Nature,Journal of Materials Chemistry","https://www.nature.com/articles/35090573
https://pubs.rsc.org/en/content/articlelanding/2004/JM/b402558j#!divAbstract",,,Sense light in the visible spectrum,Sense light (visible spectrum) from the environment,
,,,"Design and Nature II: Comparing Design in Nature with Science and Engineering,Nature",https://www.nature.com/articles/35082144,,,Sense sound/vibrations,Sense sound and other vibrations from the environment,
,,,Nature,"https://www.nature.com/articles/35070695
https://pubmed.ncbi.nlm.nih.gov/11287954/",,,Sense sound/vibrations,Sense sound and other vibrations from the environment,https://news.cornell.edu/stories/2001/04/super-fly-lends-ear-bio-inspired-hearing-aids-and-robotic-listening-devices-cornell
,,,Nature,https://www.nature.com/articles/35018159,,,"Catalyze chemical breakdown,Protect from chemicals","Catalyze chemical breakdown,Protect from chemicals",
,,,Nature,https://www.nature.com/articles/4401005a,,,Manage stress/strain,"Manage compression,Manage tension",
,,,Nature,https://www.nature.com/articles/4401005a,,,Manage stress/strain,"Manage compression,Manage tension",https://www.newscientist.com/article/mg17924041-900-soft-shelled-crabs-get-all-pumped-up/
,,,Nature,https://www.nature.com/articles/438442a,,,"Coordinate by self-organization,Send chemical signals","Coordinate by self-organization,""Send chemical signals (odor, taste, etc.)""",
,,,Nature,https://www.nature.com/articles/435164a,,,"Expel solids,Move through gases","Expel solids,Modify speed,Move in/through gases,Pollinate",
,,,Nature,https://www.nature.com/articles/423923a,,,Distribute liquids,Distribute liquids,
,,,Nature,https://www.nature.com/articles/423021a,,,,"""Modify concentration (of ions, solutes, etc)""",
,,,Nature,"https://www.nature.com/articles/421495a
https://airtable.com/tblEY0y2cQYzXu2J5/viwORV9j9tIcpzcop",,,Sense temperature cues,Sense temperature cues from the environment,
,,,"Nature,Design and Nature II: Comparing Design in Nature with Science and Engineering",https://www.nature.com/articles/420475a,,,Send sound signals,Send sound signals,
,,,"Nature,The Hidden Powers of Animals: Uncovering the Secrets of Nature,Journal of the American Chemical Society","https://www.nature.com/articles/325146a0
https://pubs.acs.org/doi/10.1021/ja1051632",,,"Protect from ice,Protect from temperature","Protect from ice,Protect from temperature",https://www.eurekalert.org/pub_releases/2010-08/rb-wfd082510.php
,,,"Nature,Science of the Total Environment","https://www.nature.com/articles/297062a0
https://www.sciencedirect.com/science/article/pii/S0048969707001878?via%3Dihub",,,"Chemically break down organic compounds,Protect from chemicals","Chemically break down organic compounds,Protect from chemicals",
,,,"Nature,Earth Surface Processes and Landforms","https://www.nature.com/articles/247074a0.pdf?proof=true
https://onlinelibrary.wiley.com/doi/abs/10.1002/%28SICI%291096-9837%28199804%2923%3A4%3C291%3A%3AAID-ESP844%3E3.0.CO%3B2-A",,,"""Capture, absorb, or filter chemical entities""","Store chemical entities,""Capture, absorb, or filter chemical entities""",
,,,Nature,https://www.nature.com/articles/217086b0,,,Distribute liquids,Distribute liquids,
,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Nature,The Canadian Entomologist","https://www.nature.com/articles/176657a0.epdf
https://www.cambridge.org/core/journals/canadian-entomologist/article/temporal-patterns-of-emergence-in-aquatic-insects/C6EF0CAE1148888089DC1B8DF13C86DE",,,"Coordinate activities,Regulate reproduction or growth","Coordinate activities,Regulate reproduction or growth,Sense time and day length",
,,,"""Brain, Behavior and Evolution""",https://www.karger.com/Article/FullText/328223,,,"Attach temporarily,""Capture, absorb, or filter solids""","Attach temporarily,""Capture, absorb, or filter solids""",
,,,Marine Ecology Progress Series,https://www.jstor.org/stable/24874508?seq=1,,,Move through/on liquids,"Modify speed,Move in/on liquids",
,,,"Mycologia,PLOS One","https://www.jstor.org/stable/3762235?seq=1
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0140407",,,"Distribute solids,Move through gases","Distribute solids,Modify position,Modify speed,Move in/through gases",
,,,"Comparative Biomechanics: Life's Physical World,The Journal of Arachnology",https://www.jstor.org/stable/3706047?seq=1,,,"Move through/on liquids,Modify/convert mechanical energy","Move in/on liquids,Transform mechanical energy",https://www.questia.com/magazine/1P3-52015019/walking-on-water
,,,Limnology and Oceanography,https://www.jstor.org/stable/2835178?seq=1,,,Manage shear,"Manage shear,Manage tension",
,,,"Annals of the Missouri Botanical Garden,""The Bees of the World, Second Edition"",The Bees in Your Backyard - A Guide to North America’s Bees",https://www.jstor.org/stable/2398919?seq=1,,,"""Capture, absorb, or filter solids""","Pollinate,""Capture, absorb, or filter solids""",
,,,"The Private Life of Plants,Biotropica",https://www.jstor.org/stable/2388496?seq=1,,,Protect from loss of liquids,Protect from loss of liquids,
,,,"Comparative Biomechanics: Life's Physical World,Biotropica",https://www.jstor.org/stable/2388261?seq=1,,,Protect from wind,Protect from wind,
,,,Biotropica,https://www.jstor.org/stable/2388261?origin=crossref&seq=1,,,Protect from wind,Protect from wind,
,,,"Journal of Herpetology,Amphibia-Reptilia","https://www.jstor.org/stable/1564398?origin=crossref&seq=1
https://brill.com/view/journals/amre/25/1/article-p29_4.xml",,,"""Capture, absorb, or filter liquids""","""Capture, absorb, or filter liquids""",
,,,"Comparative Biomechanics: Life's Physical World,Biological Bulletin,Zoomorphology","https://www.jstor.org/stable/1542085?seq=1
https://link.springer.com/article/10.1007%2FBF01632907",,,"Move through/on liquids,Move through/on solids,Modify/convert mechanical energy,""Capture, absorb, or filter solids""","Modify position,Move in/on liquids,Move in/on solids,Transform mechanical energy,""Capture, absorb, or filter solids""",
,,,"Comparative Biomechanics: Life's Physical World,Biological Bulletin",https://www.jstor.org/stable/1538612?seq=1,,,Store gases,"Modify buoyancy,Store gases",
,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Copeia,Climate Research,Canadian Journal of Zoology,Comparative Biochemistry and Physiology Part A: Physiology","https://www.jstor.org/stable/1447745?origin=crossref&seq=1
http://www.int-res.com/abstracts/cr/v05/n1/p53-59/
https://www.nrcresearchpress.com/doi/10.1139/z85-009
https://www.sciencedirect.com/science/article/abs/pii/0300962986906997?via%3Dihub",,,"Protect from ice,Protect from temperature","Protect from ice,Protect from temperature",
,,,Copeia,https://www.jstor.org/stable/1446299?origin=crossref&seq=1,,,"Protect from loss of liquids,""Capture, absorb, or filter liquids""","Protect from loss of liquids,""Capture, absorb, or filter liquids""",
,,,Copeia,https://www.jstor.org/stable/1443948?origin=crossref&seq=1,,,Protect from loss of liquids,Protect from loss of liquids,
,,,Copeia,https://www.jstor.org/stable/1442721?origin=crossref&seq=1,,,Protect from loss of liquids,Protect from loss of liquids,
,,,"The Condor,BioScience,Journal of Experimental Biology (JEB),Zoologica Africana,South African Journal of Wildlife Research","https://www.jstor.org/stable/1366197?seq=1#metadata_info_tab_contents

https://www.tandfonline.com/doi/pdf/10.1080/00445096.1973.11448511

https://www.jstor.org/stable/1309104 seq=1#metadata_info_tab_contents

https://jeb.biologists.org/content/56/1/195.short

https://pdfs.semanticscholar.org/4441/fe4a695da6b5a9d7b8aa5073b9f0e89768d5.pdf


",,,"Store liquids,""Capture, absorb, or filter liquids""","Store liquids,""Capture, absorb, or filter liquids"",Modify material characteristics",
,,,"BioScience,Science of the Total Environment,Mammal Review,Geophysical Research Letters","https://www.jstor.org/stable/1310784
https://doi.org/10.1016/j.scitotenv.2017.06.173
https://doi.org/10.1111/j.1365-2907.2005.00067.x
https://doi.org/10.1002/grl.50710


",,,"Maintain biodiversity,Control erosion","Maintain biodiversity,Control erosion and sediment,Regulate hydrological flows",
,,,"Ecology,Integrative and Comparative Biology","https://www.jstor.org/stable/176791?seq=1
https://academic.oup.com/icb/article/46/5/587/709811",,,"Regulate reproduction or growth,Respond to signals,Sense chemicals","Regulate reproduction or growth,Respond to signals,""Sense chemicals (odor, taste, etc.) from the environment""",
,,,"Tropics,New Phytologist","https://www.jstage.jst.go.jp/article/tropics/7/1+2/7_1+2_93/_pdf/-char/ja
https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.1978.tb02285.x
",,,"Compete within/between species,Maintain biodiversity","Cooperate/compete between different species,Maintain biodiversity",
,,,"The Design in Nature,American Naturalist",https://www.journals.uchicago.edu/doi/full/10.1086/342819?mobileUi=0,,,"Distribute liquids,Protect from excess liquids,Regulate reproduction or growth","Distribute liquids,Protect from excess liquids,Regulate reproduction or growth",
,,,Biological Bulletin,https://www.journals.uchicago.edu/doi/10.2307/1543624,,,"Modify color,Protect from animals,Send light signals in the visible spectrum,Modify/convert light energy","Modify light/color,Protect from animals,Send light signals in the visible spectrum,Transform radiant energy (light)",https://www.scientificamerican.com/slideshow/bioluminescent-avatar/
,,,Biological Bulletin,https://www.journals.uchicago.edu/doi/10.2307/1543542,,,Protect from chemicals,Protect from chemicals,
,,,"Comparative Biomechanics: Life's Physical World,Biological Bulletin,Zoomorphology","https://www.journals.uchicago.edu/doi/10.2307/1542262
https://link.springer.com/article/10.1007%2FBF00312146
https://www.journals.uchicago.edu/doi/10.2307/1542821",,,"Manage stress/strain,Manage impact,Prevent deformation,Prevent fatigue,Protect from animals","Manage compression,Manage impact,Prevent deformation,Prevent fatigue,Protect from animals",
,,,"International Journal of Plant Sciences,American Journal of Botany","https://www.journals.uchicago.edu/doi/10.1086/680231
https://www.jstor.org/stable/2441335?seq=1",,,Attach temporarily,Attach temporarily,
,,,American Naturalist,https://www.journals.uchicago.edu/doi/10.1086/653666,,,"Optimize shape/materials,Protect from temperature","Optimize shape/materials,Protect from temperature",https://www.sciencedaily.com/releases/2010/06/100623104428.htm
,,,American Naturalist,https://www.journals.uchicago.edu/doi/10.1086/651593,,,"Protect from animals,Send light signals in the non-visible spectrum,Sense light in the non-visible spectrum","Protect from animals,Send light signals in the non-visible spectrum,Sense light (non-visible spectrum) from the environment",https://www.sciencedaily.com/releases/2010/04/100419102924.htm
,,,American Naturalist,https://www.journals.uchicago.edu/doi/10.1086/648555,,,"Distribute solids,Send light signals in the visible spectrum,Send chemical signals","Distribute solids,Send light signals in the visible spectrum,""Send chemical signals (odor, taste, etc.)""",https://www.sciencedaily.com/releases/2009/12/091217183442.htm
,,,American Naturalist,https://www.journals.uchicago.edu/doi/10.1086/648065,,,Protect from temperature,"Maintain homeostasis,Protect from temperature",http://news.bbc.co.uk/earth/hi/earth_news/newsid_8328000/8328311.stm
,,,Physiological and Biochemical Zoology,https://www.journals.uchicago.edu/doi/10.1086/639566,,,Protect from temperature,"Adapt phenotype,Maintain homeostasis,Protect from temperature",
,,,Journal of Clinical Investigation,https://www.jci.org/articles/view/64416,,,"Break down structure,Protect from microbes","Break down living materials,Protect from microbes",
,,,Journal of Biological Chemistry,https://www.jbc.org/content/285/49/38115,,,"Manage stress/strain,Manage wear,Manage shear,Prevent fracture/rupture,Protect from animals","Manage compression,Manage mechanical wear,Manage shear,Manage tension,Prevent fracture/rupture,Protect from animals",
,,,Journal of Biological Chemistry,https://www.jbc.org/content/284/35/23344,,,Attach temporarily,Attach temporarily,https://www.eurekalert.org/pub_releases/2009-08/uoc--tig082709.php
,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Journal of Biological Chemistry",https://www.jbc.org/content/279/34/35950,,,Chemically break down organic compounds,Chemically break down organic compounds,
,,,Journal of Biological Chemistry,https://www.jbc.org/content/273/52/34868.full.pdf,,,,Regulate cellular processes,
,,,Journal of Biological Chemistry,https://www.jbc.org/content/267/11/7402.abstract,,,,"Maintain homeostasis,Regulate cellular processes",
,,,"Frontiers in Neuroanatomy,Science","https://www.frontiersin.org/articles/10.3389/fnana.2010.00027/full
https://science.sciencemag.org/content/334/6055/528.long

",,,Change size/shape,"Modify size/shape/mass/volume,Regulate cellular processes",https://www.sciencemag.org/news/2011/10/incredibly-expanding-snake-heart
,,,"Journal of the Institution of Electrical Engineers - Part I: General,Design in Nature: Learning from Trees,Engineering Fracture Mechanics,Professional Engineering","https://www.crossref.org/iPage?doi=10.1049%2Fji-1.1945.0103
https://www.sciencedirect.com/science/article/abs/pii/S0013794406000877?via%3Dihub
",,,"Manage stress/strain,Manage shear","Manage compression,Manage shear,Manage tension",
,,,Natural Coastal Protection Series,https://www.conservationgateway.org/ConservationPractices/Marine/crr/library/Documents/wind-and-swell-wave-reduction-by-mangroves.pdf,,,"Protect from excess liquids,Control erosion,Modify/convert mechanical energy,""Capture, absorb, or filter solids""","Protect from excess liquids,Control erosion and sediment,Transform mechanical energy,""Capture, absorb, or filter solids"",Regulate hydrological flows",
,,,"Trends in Plant Science,Plant Physiology,Biological Reviews","https://www.cell.com/trends/plant-science/fulltext/S1360-1385(06)00189-0?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1360138506001890%3Fshowall%3Dtrue
http://www.plantphysiol.org/content/114/3/789
https://onlinelibrary.wiley.com/doi/10.1111/j.1469-185X.2009.00100.x",,,"Protect from animals,Sense touch and mechanical forces","Protect from animals,Sense touch and mechanical forces in a living system",
,,,"Trends in Biotechnology,PNAS,Journal of Experimental Botany","https://www.cell.com/trends/biotechnology/fulltext/S0167-7799(09)00218-2?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0167779909002182%3Fshowall%3Dtrue
https://academic.oup.com/jxb/article/57/12/3091/446687
https://www.pnas.org/content/104/25/10536",,,"Manage shear,Protect from loss of liquids,Modify/convert mechanical energy","Manage shear,Protect from loss of liquids,Transform mechanical energy",
,,,Neuron,https://www.cell.com/neuron/fulltext/S0896-6273(10)00913-X?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS089662731000913X%3Fshowall%3Dtrue,,,,Chemically break down polymers,
,,,Matter,"https://www.cell.com/matter/fulltext/S2590-2385(19)30229-2?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2590238519302292%3Fshowall%3Dtrue

https://www.sciencedirect.com/science/article/pii/S1751616116303502?via%3Dihub
",,,"Manage impact,Prevent deformation,Prevent fracture/rupture","Manage impact,Prevent deformation,Prevent fracture/rupture",https://www.sciencedaily.com/releases/2019/10/191016111107.htm
,,,"The grand design: Form and colour in animals,Current Biology,Experimental Brain Research,The Biology of Chameleons","https://www.cell.com/current-biology/fulltext/S0960-9822(99)80189-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982299801894%3Fshowall%3Dtrue
https://link.springer.com/article/10.1007%2Fs002210100774",,,"Sense light in the visible spectrum,Sense motion,""Capture, absorb, or filter organisms""","Modify position,Sense light (visible spectrum) from the environment,Sense motion,""Capture, absorb, or filter organisms""",
,,,Current Biology,https://www.cell.com/current-biology/fulltext/S0960-9822(19)30028-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982219300284%3Fshowall%3Dtrue,,,Sense sound/vibrations,Sense sound and other vibrations from the environment,https://news.cornell.edu/stories/2019/02/study-mosquitoes-can-hear-10-meters-away
,,,Current Biology,https://www.cell.com/current-biology/fulltext/S0960-9822(12)01450-9?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982212014509%3Fshowall%3Dtrue,,,Manage impact,"Adapt behaviors,Manage impact",
,,,Current Biology,https://www.cell.com/current-biology/fulltext/S0960-9822(12)01266-3?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982212012663%3Fshowall%3Dtrue,,,Move through/on liquids,Move in/on liquids,
,,,Current Biology,https://www.cell.com/current-biology/fulltext/S0960-9822(12)00471-X?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS096098221200471X%3Fshowall%3Dtrue,,,Distribute solids,Distribute solids,
,,,"Current Biology,Reviews in Fish Biology and Fisheries,Copeia","https://www.cell.com/current-biology/fulltext/S0960-9822(12)00085-1
https://link.springer.com/article/10.1007%2Fs11160-009-9112-7
https://www.jstor.org/stable/1438539?seq=1",,,"Break down structure,Sense electricity/magnetism,""Capture, absorb, or filter organisms""","Break down living materials,Sense electricity/magnetism from the environment,""Capture, absorb, or filter organisms""",
,,,"Animal Architecture,Current Biology",https://www.cell.com/current-biology/fulltext/S0960-9822(11)00886-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982211008864%3Fshowall%3Dtrue,,,"Move through/on liquids,Physically assemble structure","Modify buoyancy,Move in/on liquids,Physically assemble structure",https://www.sciencemag.org/news/2011/10/snails-ship-out-scrambled-eggs
,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Current Biology",https://www.cell.com/current-biology/fulltext/S0960-9822(08)01621-7?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982208016217%3Fshowall%3Dtrue,,,Sense light in the visible spectrum,Sense light (visible spectrum) from the environment,https://www.sciencedaily.com/releases/2009/01/090107134539.htm
,,,"Current Biology,Current Opinion in Cell Biology","https://www.cell.com/current-biology/fulltext/S0960-9822(07)01639-9?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982207016399%3Fshowall%3Dtrue
https://www.cell.com/current-biology/fulltext/S0960-9822(07)01689-2?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982207016892%3Fshowall%3Dtrue
https://www.sciencedirect.com/science/article/abs/pii/S0955067412001457?via%3Dihub
https://www.sciencedirect.com/science/article/abs/pii/S0955067407001925?via%3Dihub
",,,"Change size/shape,Move through/on liquids,Move through/on solids,Physically assemble structure,Regulate reproduction or growth","Modify position,Modify size/shape/mass/volume,Move in/on liquids,Move in/on solids,Physically assemble structure,Regulate cellular processes,Regulate reproduction or growth",
,,,Cell,https://www.cell.com/cell/fulltext/S0092-8674(19)30047-9?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867419300479%3Fshowall%3Dtrue,,,"Physically assemble structure,Change size/shape","Physically assemble structure,Modify material characteristics,Modify size/shape/mass/volume",https://penntoday.upenn.edu/news/physical-model-forming-patterns-pollen
,,,"Cell,Nature","https://www.cell.com/cell/fulltext/S0092-8674(09)01033-2?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867409010332%3Fshowall%3Dtrue
https://www.nature.com/articles/nature04588",,,Manage environmental disturbances,"Adapt genotype,Manage disturbance in a community",https://www.sciencedaily.com/releases/2009/11/091102112102.htm
,,,"Cell,""Principles of Virology: Molecular Biology, Pathogenesis, and Control of Animal Viruses, 2nd Edition""",https://www.cell.com/cell/fulltext/S0092-8674(06)00187-5?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867406001875%3Fshowall%3Dtrue,,,Attach temporarily,Attach temporarily,
